week,topic,activity,momentum
2023-09-25,Economics & Finance,1,1.9999996400000435
2023-10-02,Economics & Finance,0,1.9999996400000435
2023-10-09,Economics & Finance,0,1.9999996400000435
2023-10-16,Economics & Finance,0,1.9999996400000435
2023-10-23,Economics & Finance,1,0.49999991000000543
2023-10-30,Economics & Finance,0,0.49999991000000543
2023-11-06,Economics & Finance,0,0.49999991000000543
2023-11-13,Economics & Finance,0,0.49999991000000543
2023-11-20,Economics & Finance,0,-1.0
2023-11-27,Economics & Finance,0,-1.0
2023-12-04,Economics & Finance,0,-1.0
2023-12-11,Economics & Finance,0,-1.0
2023-12-18,Economics & Finance,0,-1.0
2023-12-25,Economics & Finance,0,-1.0
2024-01-01,Economics & Finance,0,-1.0
2024-01-08,Economics & Finance,0,-1.0
2024-01-15,Economics & Finance,0,-1.0
2024-01-22,Economics & Finance,0,-1.0
2024-01-29,Economics & Finance,0,-1.0
2024-02-05,Economics & Finance,0,-1.0
2024-02-12,Economics & Finance,0,-1.0
2024-02-19,Economics & Finance,0,-1.0
2024-02-26,Economics & Finance,0,-1.0
2024-03-04,Economics & Finance,0,-1.0
2024-03-11,Economics & Finance,0,-1.0
2024-03-18,Economics & Finance,0,-1.0
2024-03-25,Economics & Finance,0,-1.0
2024-04-01,Economics & Finance,0,-1.0
2024-04-08,Economics & Finance,0,-1.0
2024-04-15,Economics & Finance,0,-1.0
2024-04-22,Economics & Finance,0,-1.0
2024-04-29,Economics & Finance,0,-1.0
2024-05-06,Economics & Finance,0,-1.0
2024-05-13,Economics & Finance,0,-1.0
2024-05-20,Economics & Finance,0,-1.0
2024-05-27,Economics & Finance,0,-1.0
2024-06-03,Economics & Finance,0,-1.0
2024-06-10,Economics & Finance,0,-1.0
2024-06-17,Economics & Finance,0,-1.0
2024-06-24,Economics & Finance,0,-1.0
2024-07-01,Economics & Finance,0,-1.0
2024-07-08,Economics & Finance,0,-1.0
2024-07-15,Economics & Finance,0,-1.0
2024-07-22,Economics & Finance,0,-1.0
2024-07-29,Economics & Finance,0,-1.0
2024-08-05,Economics & Finance,0,-1.0
2024-08-12,Economics & Finance,0,-1.0
2024-08-19,Economics & Finance,0,-1.0
2024-08-26,Economics & Finance,0,-1.0
2024-09-02,Economics & Finance,0,-1.0
2024-09-09,Economics & Finance,0,-1.0
2024-09-16,Economics & Finance,0,-1.0
2024-09-23,Economics & Finance,0,-1.0
2024-09-30,Economics & Finance,0,-1.0
2024-10-07,Economics & Finance,0,-1.0
2024-10-14,Economics & Finance,0,-1.0
2024-10-21,Economics & Finance,0,-1.0
2024-10-28,Economics & Finance,0,-1.0
2024-11-04,Economics & Finance,1,1.9999996400000435
2024-11-11,Economics & Finance,0,1.9999996400000435
2024-11-18,Economics & Finance,0,1.9999996400000435
